# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
ke yi ren wei 	可以認爲	c=1 d=1 t=873
ke yi shi 	可以是	c=1 d=1 t=1819
ke yi tui jian wo 	可以推薦我	c=1 d=1 t=3058
ke yi xiang xiang 	可以想象	c=1 d=1 t=2872
ke yi yong yuan zai yi qi ma 	可以永遠在一起嗎	c=1 d=1 t=3909
ke yi zhi jie 	可以直接	c=1 d=1 t=735
ke yong 	可用	c=0 d=0.108168 t=5704
ke yong ma 	可用嗎	c=1 d=1 t=5705
ken ding 	肯定	c=2 d=1.00017 t=5553
kong ge 	空格	c=2 d=0.1 t=6417
kong jian 	空間	c=3 d=0.100099 t=5506
kong jian bu gou 	空間不夠	c=1 d=1 t=4105
kong jian fu za du 	空间复杂度	c=3 d=1.82325 t=4773
kong jian he yan tao hui jie mu 	空間和研討會節目	c=1 d=1 t=5507
kong ju 	恐懼	c=0 d=0.1 t=5507
kong pa 	恐怕	c=1 d=1 t=479
kong zhi 	控制	c=1 d=0.125604 t=3293
kong zhi 	空值	c=1 d=1 t=806
kong zhi qi 	控制器	c=2 d=1 t=5740
kong zhi zhong xin 	控制中心	c=1 d=1 t=5783
ku 	哭	c=0 d=0.1 t=3030
ku 	庫	c=1 d=1 t=6239
ku le 	哭了	c=0 d=0.1 t=3640
ku shou 	苦手	c=1 d=1 t=4304
ku zhe 	哭着	c=1 d=1 t=2930
ku zhong 	庫中	c=1 d=0.100007 t=4012
kua 	跨	c=0 d=0.1 t=746
kua ping tai 	跨平臺	c=1 d=1 t=750
kua ping tai de 	跨平臺的	c=1 d=1 t=747
kuai 	塊	c=1 d=0.100564 t=5925
kuai jie fang shi 	快捷方式	c=1 d=1 t=681
kuai jie jian 	快捷鍵	c=1 d=1 t=538
kuai le 	快了	c=2 d=1.9802 t=5407
kuai le 	快樂	c=0 d=0.154607 t=5522
kuai pai 	快排	c=2 d=1 t=4612
kuai qian 	塊錢	c=0 d=0.1 t=5127
kuai su 	快速	c=2 d=0.1 t=5204
kuai su pai xu 	快速排序	c=11 d=1.13594 t=2065
kuai su pai xu suan fa 	快速排序算法	c=2 d=1.95123 t=1301
kuai su xiu fu 	快速修復	c=1 d=1 t=5205
kuang biao 	狂飆	c=1 d=1 t=5579
kuang feng 	狂風	c=0 d=0.0923116 t=6821
kun huo 	困惑	c=1 d=1 t=6532
kun jing 	困境	c=1 d=1 t=315
kuo san 	擴散	c=0 d=0.0913931 t=130
kuo san dao 	擴散到	c=1 d=0.918512 t=130
la 	啦	c=1 d=0.560879 t=3901
la 	拉	c=0 d=0.1 t=5719
la bu da 	拉不大	c=1 d=1 t=5720
la ji hui shou 	垃圾回收	c=1 d=0.965605 t=6821
la kui la 	拉奎拉	c=1 d=1 t=5524
la le 	拉了	c=1 d=1 t=4372
la man 	拉滿	c=1 d=1 t=635
la qi 	拉起	c=1 d=1 t=6463
lai 	來	c=4 d=1.00167 t=5141
lai bian ma 	來編碼	c=1 d=1 t=2288
lai dui hua 	來對話	c=1 d=1 t=3479
lai ma 	來嘛	c=1 d=1 t=3874
lai shuo 	來說	c=1 d=1 t=414
lai ting 	來聽	c=0 d=0.1 t=6659
lai ting ge 	來聽歌	c=1 d=1 t=6660
lai wo jia 	來我家	c=2 d=1.98511 t=3875
lai zhe 	來着	c=1 d=0.1 t=4485
lai zi 	來自	c=1 d=1 t=5490
lai zu 	來組	c=1 d=1 t=4437
lan 	藍	c=1 d=1 t=6561
lan bai 	蘭白	c=1 d=1 t=552
lan guang 	藍光	c=1 d=1 t=6499
lan ya 	藍牙	c=20 d=11.736 t=5939
lan ya de 	藍牙的	c=1 d=1 t=5859
lan ze 	兰泽	c=0 d=0.0932394 t=6821
lan ze yu 	兰泽宇	c=1 d=0.937067 t=6821
lao 	老	c=1 d=1 t=6571
lao bai xing 	老百姓	c=1 d=1 t=358
lao ban 	老闆	c=2 d=1.00002 t=3651
lao ban men 	老闆們	c=1 d=1 t=550
lao lun si 	勞倫斯	c=2 d=1.99005 t=1804
lao shi 	老師	c=3 d=0.100184 t=6658
lao shi ming zi 	老師名字	c=1 d=1 t=5378
le 	了	c=30 d=1.38652 t=6821
le ban tian 	了半天	c=1 d=1 t=642
le kong ju yu jian kang 	了恐懼與健康	c=1 d=1 t=5508
le ma 	了嗎	c=1 d=0.265718 t=4032
le yi ge 	了一個	c=1 d=1 t=6331
le yi zhong 	了一種	c=1 d=1 t=6432
lei 	雷	c=0 d=0.1 t=384
lei 	類	c=2 d=1.75957 t=4414
lei jia 	累加	c=1 d=1 t=2435
lei ou li 	雷欧力	c=1 d=1 t=5510
lei si 	類似	c=1 d=1 t=4156
lei xing 	類型	c=1 d=1 t=1698
li 	李	c=0 d=0.1 t=1020
li 	理	c=2 d=1.00115 t=6446
li 	裏	c=5 d=1.29064 t=4170
li an 	立安	c=1 d=1 t=6559
li chun yu 	李春雨	c=1 d=1 t=1021
li de 	裏的	c=1 d=1 t=4138
li jie 	理解	c=0 d=0.101734 t=4271
li jie le 	理解了	c=1 d=1 t=4272
li jie ni de shuo fa 	理解你的說法	c=1 d=1 t=3453
li jing pan dao 	離經叛道	c=1 d=1 t=2812
li kai 	離開	c=1 d=1 t=5509
li kai jia 	離開家	c=0 d=0.1 t=5522
li kai jia kuai le 	離開家快樂	c=1 d=1 t=5523
li ke qiang 	李克強	c=1 d=0.955997 t=6821
li lun 	理論	c=0 d=0.1 t=2564
li mian 	裏面	c=3 d=1.00573 t=3084
li ru 	例如	c=2 d=1.06111 t=6676
li shi 	歷史	c=2 d=1.96561 t=2693
li yi 	利益	c=1 d=1 t=158
li yong 	利用	c=2 d=1 t=4754
li yu 	利於	c=1 d=1 t=3160
li zhan shu 	栗战书	c=1 d=0.960789 t=6821
li zi 	例子	c=1 d=1 t=4219
lian 	連	c=2 d=1.37744 t=4388
lian ai zhi nan 	恋爱指南	c=1 d=1 t=3887
lian cheng 	聯城	c=0 d=0.1 t=4404
lian cheng 	連乘	c=5 d=4.21006 t=4747
lian jie 	連接	c=6 d=1.01178 t=6293
lian jie cha xun 	連接查詢	c=1 d=1 t=4876
lian jie xian 	連接線	c=1 d=1 t=6622
lian ren 	戀人	c=2 d=1.97847 t=3972
lian ren guan xi 	戀人關係	c=1 d=1 t=3973
lian ren o 	戀人哦	c=1 d=1 t=3952
lian xi 	練習	c=1 d=1 t=1700
lian xi 	聯繫	c=1 d=0.100071 t=3719
lian xi zai yi qi 	聯繫在一起	c=1 d=1 t=419
lian xu 	連續	c=1 d=1 t=2475
liang 	涼	c=1 d=1 t=6651
liang ban 	兩半	c=0 d=0.1 t=4504
liang bian 	兩遍	c=0 d=0.1 t=4100
liang bian tong ku 	兩遍痛苦	c=1 d=1 t=4101
liang ge 	兩個	c=5 d=1.18148 t=6230
liang ge chuan 	兩個串	c=1 d=1 t=4677
liang ge duo xiao shi le 	兩個多小時了	c=1 d=1 t=4409
liang hao 	良好	c=1 d=1 t=5429
liang xiao 	兩小	c=0 d=0.1 t=4507
liang zai 	晾在	c=1 d=1 t=1518
liang zhong 	兩種	c=1 d=0.167861 t=5245
liang zhong fang an 	兩種方案	c=1 d=1 t=5162
liang zhong sheng wu 	兩種生物	c=1 d=1 t=4019
liao jie 	瞭解	c=4 d=0.243342 t=3555
liao jie de hua 	瞭解的話	c=1 d=1 t=3556
liao jie le 	瞭解了	c=1 d=1 t=1290
liao liao tian 	聊聊天	c=1 d=1 t=3116
liao tian 	聊天	c=0 d=0.1 t=3194
liao tian de 	聊天的	c=1 d=1 t=3195
lie 	列	c=1 d=1 t=4730
lie biao 	列表	c=2 d=1.04505 t=2262
lie ju 	列舉	c=1 d=1 t=4216
lie shi 	劣勢	c=0 d=0.1 t=1294
lin 	林	c=2 d=1 t=6459
lin feng 	林風	c=1 d=1 t=3650
lin yuan 	林原	c=3 d=1.34132 t=3885
ling 	令	c=1 d=1.24899 t=280
ling an 	令安	c=1 d=1 t=6467
ling chen 	凌晨	c=0 d=0.1 t=1620
ling chen la 	凌晨啦	c=1 d=1 t=1621
ling hui 	領會	c=0 d=0.1 t=1978
ling hui le 	領會了	c=1 d=1 t=1979
ling huo 	靈活	c=0 d=0.1 t=4393
ling huo de 	靈活的	c=1 d=1 t=4394
ling huo de shi yong fang shi 	靈活的使用方式	c=1 d=1 t=1902
ling pai 	令牌	c=1 d=1 t=5530
ling wai 	另外	c=3 d=1.00184 t=1763
ling yi ge 	另一個	c=1 d=1 t=3456
liu 	劉	c=1 d=1 t=6466
liu cheng 	流程	c=1 d=1.00005 t=3749
liu cheng tu 	流程圖	c=1 d=1 t=2557
liu lan qi 	瀏覽器	c=2 d=1 t=6733
liu li 	刘立	c=0 d=0.1 t=6552
liu li an 	刘立安	c=2 d=1.98511 t=6556
liu lian 	榴蓮	c=4 d=3.68881 t=6518
liu ru 	流入	c=0 d=0.1 t=276
liu ru shi chang 	流入市場	c=1 d=1 t=277
liu xiang 	流向	c=1 d=1 t=226
liu xiu 	劉秀	c=1 d=1 t=2141
long zhong kui meng 	籠中窺夢	c=1 d=1 t=1405
lou ti 	樓梯	c=2 d=1.69073 t=6548
lou wang 	漏網	c=1 d=1 t=523
lu 	路	c=1 d=1 t=1374
lu bu 	盧布	c=2 d=1 t=3786
lu bu jie suan ling 	盧布結算令	c=1 d=1 t=246
lu gan si ke 	卢甘斯克	c=1 d=0.763379 t=130
lu jing 	路徑	c=2 d=0.103058 t=5345
lu ping 	录屏	c=1 d=1 t=5538
lu you 	路由	c=0 d=0.1 t=5625
luan 	亂	c=0 d=0.1 t=6302
luan xu 	乱序	c=1 d=0.100204 t=6303
luan xu jia wen 	乱序假文	c=1 d=1 t=6304
luan xu yao 	亂需要	c=1 d=1 t=6303
lun 	論	c=0 d=0.1 t=6703
lun tan 	論壇	c=1 d=1 t=5808
lun wen 	論文	c=2 d=1 t=6396
luo hou 	落後	c=0 d=0.1 t=1538
luo hou yu dao tui 	落後與倒退	c=1 d=1 t=1539
luo ji 	裸機	c=1 d=1 t=2659
luo ji 	邏輯	c=1 d=1 t=2629
luo si 	螺絲	c=1 d=1 t=5497
ma 	嗎	c=30 d=1.98498 t=6745
ma 	嘛	c=2 d=0.672139 t=3851
ma 	碼	c=1 d=1 t=6273
ma 	罵	c=1 d=1 t=2031
ma de 	媽的	c=1 d=0.104232 t=4790
ma fan 	麻煩	c=0 d=0.196079 t=3750
ma shang 	馬上	c=1 d=1 t=6534
ma tou 	碼頭	c=0 d=0.1 t=4464
ma tou ri xun 	碼頭日訊	c=1 d=1 t=4465
mai 	買	c=2 d=1.00002 t=5887
mai de 	買的	c=3 d=1 t=5129
mai le 	買了	c=0 d=0.1 t=2177
man yi 	滿意	c=2 d=2.09303 t=5420
man zu 	滿足	c=1 d=1 t=1928
mang guo 	芒果	c=1 d=1 t=5560
mao 	貓	c=1 d=1 t=3939
mao er 	猫耳	c=1 d=1 t=3940
mao er 	貓兒	c=0 d=0.1 t=6658
mao er lao shi 	貓兒老師	c=1 d=1 t=6659
mao niang 	猫娘	c=11 d=9.3391 t=4045
mao niang de 	猫娘的	c=2 d=1.69768 t=4032
mao ning 	貓寧	c=2 d=1.97045 t=5652
mao pao 	冒泡	c=1 d=1 t=1223
mao pao pai xu 	冒泡排序	c=1 d=1 t=1243
me 	麼	c=1 d=1 t=6654
mei 	每	c=0 d=0.100002 t=4507
mei 	沒	c=2 d=1.1167 t=5549
mei chuan 	沒傳	c=1 d=1 t=786
mei dao 	美刀	c=1 d=1 t=3788
mei dao li 	沒道理	c=1 d=1 t=6517
mei dong xi wan 	沒東西玩	c=1 d=1 t=2207
mei fa 	沒法	c=1 d=1 t=5721
mei fang 	美方	c=1 d=1 t=262
mei ge 	每個	c=4 d=1.00488 t=5997
mei ge shi zhong zhou qi 	每個时钟周期	c=2 d=1.89137 t=2400
mei ge xue sheng 	每個學生	c=1 d=1 t=4919
mei guo 	美國	c=5 d=2.37744 t=424
mei guo de 	美國的	c=2 d=1.35523 t=427
mei jun 	美軍	c=1 d=0.946485 t=130
mei liang xiao ban 	每兩小半	c=1 d=1 t=4508
mei mei 	妹妹	c=2 d=1.98511 t=6311
mei neng 	沒能	c=2 d=1 t=4785
mei nv 	美女	c=1 d=1 t=3629
mei shi 	沒事	c=0 d=0.1 t=4074
mei tong zhi 	沒通知	c=1 d=1 t=2112
mei xie 	沒寫	c=2 d=1 t=4204
mei yi 	每一	c=0 d=0.1 t=4681
mei yi bu 	每一步	c=1 d=1.01066 t=5307
mei yi bu de 	每一步的	c=1 d=1 t=4687
mei yi dui 	每一對	c=1 d=1.07045 t=4688
mei yong 	沒用	c=1 d=1 t=706
mei you 	沒有	c=15 d=1.09097 t=6671
mei you da yin 	沒有打印	c=1 d=1 t=5176
mei you fa sheng yu qi yi wai de 	沒有發生預期以外的	c=1 d=1 t=2003
mei you lian jie 	沒有連接	c=1 d=1 t=5838
mei you ne 	沒有呢	c=1 d=1 t=3889
mei you xian dai hua 	沒有現代化	c=1 d=1 t=1530
mei you yong 	沒有用	c=1 d=1 t=519
mei you yu dao 	沒有遇到	c=1 d=1 t=1965
mei zai 	沒在	c=1 d=1 t=564
mei zuo zuo ye 	沒做作業	c=1 d=1 t=2097
men 	們	c=0 d=0.1 t=549
men ce 	門側	c=1 d=1 t=6492
meng jian 	夢見	c=0 d=0.1 t=3882
meng jian le shen me 	夢見了什麼	c=1 d=1 t=3883
meng xin 	萌新	c=1 d=1 t=4295
meng you xian sheng 	梦游先生	c=1 d=1 t=1778
mi ma 	密碼	c=1 d=1 t=6283
mi qie guan zhu 	密切關注	c=1 d=1 t=150
mi qie xiang guan 	密切相關	c=1 d=1 t=160
mi yao 	密鑰	c=1 d=1 t=6285
mian ban 	面板	c=0 d=0.1 t=677
mian ban de 	面板的	c=1 d=1 t=678
mian lin 	面臨	c=1 d=1.07261 t=5520
miao 	喵	c=1 d=1 t=1624
miao 	秒	c=2 d=1 t=6616
miao a 	喵啊	c=2 d=1.99501 t=6642
miao ei 	喵誒	c=1 d=1 t=6644
miao er 	喵兒	c=1 d=1.06561 t=1624
miao o 	喵哦	c=1 d=1 t=6645
miao shu 	描述	c=4 d=0.350817 t=5021
miao shu de 	描述的	c=1 d=1 t=5288
miao shu yi ge 	描述一個	c=1 d=1 t=5022
miao si 	喵斯	c=1 d=1 t=5461
miao wu 	喵呜	c=1 d=1 t=6643
miao xie 	描寫	c=0 d=0.194176 t=3053
miao xie qing chu 	描寫清楚	c=1 d=1 t=3054
min gan 	敏感	c=0 d=0.1 t=3768
min gan nei rong 	敏感內容	c=1 d=1 t=3769
min zu 	民族	c=0 d=0.1 t=1552
min zu shi duo yang de 	民族是多樣的	c=1 d=1 t=1553
ming 	名	c=0 d=0.1 t=4195
ming 	命	c=1 d=1 t=465
ming 	明	c=1 d=1 t=5491
ming bai 	明白	c=3 d=0.442351 t=4032
ming bai le 	明白了	c=1 d=1 t=3573
ming bai le ma 	明白了嗎	c=1 d=1 t=4033
ming ci 	名詞	c=1 d=1 t=6782
ming hao 	名號	c=1 d=1 t=350
ming ling 	命令	c=3 d=1.88094 t=3389
ming ling hang 	命令行	c=4 d=1.96079 t=4581
ming ling zhi wai 	命令之外	c=1 d=1 t=3359
ming ming 	明明	c=1 d=1 t=3498
ming que 	明確	c=0 d=0.1 t=6324
ming tian 	明天	c=2 d=1.1367 t=2206
ming wei 	名爲	c=1 d=1 t=4857
ming xian 	明顯	c=1 d=1 t=6593
ming yun 	命運	c=1 d=1 t=2972
ming zi 	名字	c=7 d=0.119518 t=5377
ming zi jiao 	名字叫	c=0 d=0.1 t=3683
ming zi jiao zuo 	名字叫做	c=1 d=1 t=4418
ming zi ma 	名字嘛	c=1 d=1 t=3852
ming zi shi 	名字是	c=3 d=2.94092 t=5036
mo 	抹	c=0 d=0.1 t=5534
mo 	摸	c=1 d=1 t=5541
mo 	莫	c=1 d=1 t=5479
mo ban 	模板	c=1 d=1 t=6397
mo diao 	抹掉	c=2 d=1 t=5746
mo er 	摩爾	c=1 d=1 t=4210
mo fa 	魔法	c=0 d=0.1 t=6703
mo fang 	模仿	c=1 d=1 t=3431
mo guo 	摸過	c=1 d=1 t=6511
mo le 	抹了	c=1 d=1 t=646
mo ming qi miao 	莫名其妙	c=1 d=1 t=685
mo mo 	摸摸	c=5 d=1.00086 t=5505
mo mo da tui 	摸摸大腿	c=1 d=1 t=3926
mo mo tou 	摸摸頭	c=1 d=1 t=3925
mo ni 	模擬	c=1 d=1 t=3472
mo ni qi 	模擬器	c=0 d=0.1 t=566
mo ren 	默認	c=1 d=1.00471 t=1398
mo ren ni 	默認你	c=1 d=1 t=788
mo shi 	模式	c=2 d=1.95123 t=2311
mo shi xia 	模式下	c=1 d=1 t=5831
mo xing 	模型	c=5 d=1.00361 t=6076
mo xing ji 	模型機	c=1 d=0.734448 t=2575
mo yi lv 	抹一縷	c=1 d=1 t=5535
mou ge 	某個	c=1 d=1 t=4221
mou yi 	某一	c=0 d=0.1 t=2293
mou yi wei 	某一位	c=1 d=1 t=2294
mu lu xia 	目錄下	c=2 d=1 t=5266
mu qian 	目前	c=2 d=1.99927 t=3081
mu qian shuo de shi 	目前說的是	c=1 d=1 t=2691
mu xiao 	母校	c=1 d=1 t=2270
na 	拿	c=1 d=1.09501 t=5371
na 	那	c=4 d=0.32202 t=6542
na ba 	那把	c=1 d=1 t=6741
na bu ran ne 	那不然呢	c=2 d=1.99501 t=6544
na chu 	拿出	c=1 d=1 t=6580
na dao 	拿到	c=1 d=1.0802 t=5103
na dao le yi ge 	拿到了一個	c=1 d=1 t=5104
na er 	哪兒	c=1 d=1 t=5917
na ge 	那個	c=6 d=1.97924 t=6743
na ge shi hou 	那個時候	c=1 d=1 t=3220
na hao ba 	那好吧	c=1 d=1 t=2790
na jiu 	那就	c=2 d=1.04979 t=1438
na jiu kai shi 	那就開始	c=1 d=1 t=3364
na jiu tai hao la 	那就太好啦	c=1 d=1 t=3902
na ke yi 	那可以	c=1 d=1 t=3113
na lai 	拿來	c=2 d=1.96079 t=1784
na me 	那麼	c=1 d=1 t=3420
na mei shi le 	那沒事了	c=1 d=1 t=4075
na ni 	那你	c=1 d=1 t=5986
na ni jiu 	那你就	c=1 d=1 t=4022
na ni jiu zhi neng shi 	那你就只能是	c=1 d=1 t=4004
na ni shi 	那你是	c=1 d=1 t=5960
na nian 	哪年	c=1 d=1 t=4232
na qing ni 	那請你	c=1 d=1 t=3473
na shi 	那是	c=1 d=1 t=5559
na tai 	那臺	c=1 d=1 t=1767
na wan yi 	那玩意	c=1 d=1 t=1795
na wo 	那我	c=1 d=1 t=1807
na xie 	哪些	c=2 d=1.0703 t=3302
na xie 	那些	c=0 d=0.1 t=1571
na yang 	那樣	c=1 d=1 t=2917
na yi tai 	那一臺	c=2 d=1.97045 t=1779
na zhong 	那種	c=0 d=0.177105 t=2996
na zhong shi 	那種事	c=1 d=1 t=2997
na zu 	那組	c=1 d=1 t=4432
nai nai 	奶奶	c=0 d=0.1 t=5524
nan 	南	c=0 d=0.1 t=5621
nan 	男	c=9 d=4.61598 t=1806
nan beng 	難崩	c=1 d=1 t=5886
nan du 	難度	c=0 d=0.1 t=4368
nan min 	難民	c=1 d=1 t=407
nan peng you 	男朋友	c=1 d=1 t=3702
nan tong 	南通	c=0 d=0.1 t=2136
nan tong da jie 	南通大街	c=1 d=1 t=2137
nan yi 	難以	c=1 d=1.07788 t=464
nan yi cheng shou 	難以承受	c=1 d=1 t=415
nao ke 	腦殼	c=1 d=1 t=4122
nao zhi 	腦汁	c=1 d=1 t=911
ne 	呢	c=5 d=0.188906 t=6646
nei 	內	c=3 d=0.100284 t=4243
nei cun 	內存	c=2 d=0.914647 t=5536
nei rong 	內容	c=2 d=0.11121 t=3768
nei rong bao han 	內容包含	c=1 d=1 t=3022
nei wang 	內網	c=1 d=1.09185 t=3299
nei wang huan jing zhong 	內網環境中	c=1 d=1 t=3283
nei xin 	內心	c=1 d=1 t=3000
nei xin de 	內心的	c=1 d=1 t=3010
neng 	能	c=3 d=0.102637 t=5808
neng bu neng wa jue yi xia 	能不能挖掘一下	c=1 d=1 t=1794
neng chu li 	能處理	c=1 d=1 t=4578
neng cong 	能從	c=1 d=1 t=4529
neng fou 	能否	c=0 d=0.1 t=443
neng fou sheng xiao 	能否生效	c=1 d=1 t=444
neng gou 	能夠	c=7 d=1.06195 t=4532
neng gou an zhao 	能夠按照	c=1 d=1 t=2556
neng gou chu li 	能夠處理	c=1 d=1 t=4533
neng guan li 	能管理	c=1 d=1 t=4808
neng huo 	能活	c=0 d=0.1 t=3136
neng huo zai xian zai 	能活在現在	c=1 d=1 t=3137
neng ji lu 	能記錄	c=1 d=1 t=4937
neng kai ji de hua 	能開機的話	c=1 d=1 t=1782
neng li 	能力	c=0 d=0.1 t=5972
neng li ru he 	能力如何	c=1 d=1 t=5973
neng lian xi shang xia wen 	能聯繫上下文	c=1 d=1 t=3720
neng shuo 	能說	c=0 d=0.1 t=3502
neng wan 	能玩	c=0 d=0.1 t=648
neng wan de 	能玩的	c=1 d=1 t=649
neng yuan 	能源	c=0 d=0.1 t=202
neng yuan chu kou 	能源出口	c=1 d=1 t=203
ni 	你	c=16 d=0.415919 t=6325
ni ba 	你把	c=2 d=1.00204 t=5506
ni biao xian de 	你表現的	c=1 d=1 t=2885
ni bu hui 	你不會	c=1 d=1 t=3501
ni bu neng zhe yang 	你不能這樣	c=1 d=0.236014 t=3909
ni bu neng zhe yang shuo 	你不能這樣說	c=1 d=1 t=3910
ni bu shi ge 	你不是個	c=1 d=1 t=4020
ni bu shi shen me 	你不是什麼	c=1 d=1 t=3982
ni bu shi yi ge 	你不是一個	c=1 d=1 t=3990
ni bu xi huan wo ma 	你不喜歡我嘛	c=1 d=1 t=3859
ni bu xu yao 	你不需要	c=2 d=0.693896 t=3801
ni bu xu yao que ren 	你不需要確認	c=1 d=1 t=3802
ni ceng jing 	你曾經	c=1 d=1 t=1775
ni chu le 	你除了	c=2 d=1 t=3358
ni de 	你的	c=12 d=1.07648 t=5688
ni de ming zi jiao 	你的名字叫	c=1 d=1 t=3684
ni de yi si 	你的意思	c=1 d=1 t=3880
ni gao su 	你告訴	c=1 d=1 t=3319
ni hai neng 	你還能	c=1 d=1 t=5526
ni hai xiang 	你還想	c=0 d=0.1 t=836
ni hai xiang tian 	你還想填	c=1 d=1 t=837
ni hao 	你好	c=20 d=3.54788 t=6274
ni hao ke ai 	你好可愛	c=1 d=1.03239 t=3906
ni hao ke ai ya 	你好可愛呀	c=1 d=1 t=3907
ni hao xiang 	你好像	c=1 d=1 t=2879
ni hui shuo zhong wen ma 	你會說中文嗎	c=2 d=1.99501 t=5729
ni jiu bu xiang 	你就不想	c=1 d=1 t=3125
ni jiu shi 	你就是	c=2 d=1.08673 t=3984
ni kai xin 	你開心	c=1 d=1 t=3900
ni ke yi 	你可以	c=4 d=1.00002 t=5976
ni lian zi ji de 	你連自己的	c=1 d=1 t=3681
ni ma 	你媽	c=1 d=0.100003 t=6645
ni pao 	你跑	c=1 d=1 t=4430
ni reng ran 	你仍然	c=1 d=1 t=3469
ni she ji de 	你設計的	c=1 d=1 t=6326
ni shi 	你是	c=9 d=3.31103 t=6072
ni shi bei 	你是被	c=1 d=1 t=4029
ni shi du yi wu er de 	你是獨一無二的	c=1 d=1 t=3676
ni shi shei 	你是誰	c=0 d=0.1 t=3973
ni shi shei ne 	你是誰呢	c=1 d=1 t=3974
ni shi yi ge 	你是一個	c=2 d=1.96079 t=4034
ni shu ru de 	你輸入的	c=1 d=1 t=4348
ni shuo 	你說	c=0 d=0.100025 t=5139
ni shuo de 	你說的	c=1 d=1 t=3513
ni shuo hua 	你說話	c=1 d=1 t=3977
ni shuo zhong wen 	你說中文	c=1 d=1 t=5730
ni wan 	你玩	c=1 d=1 t=3789
ni wan quan ke yi 	你完全可以	c=1 d=1 t=3459
ni wei shen me 	你爲什麼	c=1 d=1 t=5668
ni wen 	你問	c=0 d=0.1 t=2128
ni wen wo de a 	你問我的啊	c=1 d=1 t=3694
ni xiang shuo shen me 	你想說什麼	c=1 d=1 t=3721
ni xiang zhi dao 	你想知道	c=1 d=1 t=3171
ni xu dui 	逆序对	c=5 d=2.78749 t=4522
ni yi jing xue guo de 	你已經學過的	c=1 d=1 t=5981
ni you duo xi huan wo 	你有多喜歡我	c=1 d=1 t=3862
ni zen me neng shuo 	你怎麼能說	c=2 d=1.9802 t=3507
ni zhe duan 	你這段	c=1 d=1 t=5072
ni zhen de hao ke ai 	你真的好可愛	c=1 d=1 t=3893
ni zhi dao 	你知道	c=1 d=1 t=6020
ni zhi shi yi ge 	你只是一個	c=1 d=1 t=3428
ni zhi xu yao 	你只需要	c=2 d=1.28508 t=3803
nian 	年	c=3 d=1.89583 t=2773
nian ling 	年齡	c=0 d=0.1 t=1771
nian ling hai da 	年齡還大	c=1 d=1 t=1772
nian qing 	年輕	c=1 d=1 t=6681
nian zhuo 	黏着	c=0 d=0.1 t=6752
nian zhuo yu 	黏着語	c=1 d=1 t=6753
nie 	捏	c=1 d=1 t=6568
nin 	您	c=7 d=1.23557 t=3242
nin de 	您的	c=1 d=1 t=981
nin gang ti dao 	您剛提到	c=1 d=1 t=2801
nin hao 	您好	c=2 d=1.01133 t=3627
nin ke yi 	您可以	c=4 d=2.20059 t=1353
nin neng 	您能	c=0 d=0.1 t=2815
nin neng li jie ma 	您能理解嗎	c=1 d=1 t=2816
nin xian zai 	您現在	c=1 d=1 t=2758
nin ye 	您也	c=0 d=0.1 t=4336
nin ye ke yi 	您也可以	c=1 d=1 t=4337
nin ying gai 	您應該	c=1 d=1 t=2780
nin zhi dao 	您知道	c=1 d=1 t=2798
nin zi ji ba 	您自己吧	c=1 d=1 t=2735
niu 	牛	c=1 d=1 t=5653
niu bi 	牛逼	c=2 d=1 t=5096
nong 	弄	c=1 d=1 t=5480
nong bu qing 	弄不清	c=1 d=1 t=4789
nu li 	努力	c=1 d=1 t=6630
nuo dao 	糯稻	c=1 d=1 t=528
nuo dong 	挪動	c=1 d=1 t=529
nv 	女	c=5 d=1.00005 t=3905
nv peng you 	女朋友	c=2 d=1.9802 t=3497
nv sheng 	女生	c=2 d=1.82627 t=2970
nv you 	女友	c=1 d=1 t=3904
o 	哦	c=1 d=1.00041 t=5097
o 	筽	c=1 d=1 t=5516
o bu dui 	哦不對	c=1 d=1 t=936
ou mei 	歐美	c=2 d=1.73712 t=235
ou meng 	歐盟	c=0 d=0.0895834 t=130
ou meng zhi jian 	歐盟之間	c=1 d=0.900325 t=130
ou po 	歐泊	c=1 d=1 t=5514
ou zhou 	歐洲	c=5 d=3.69163 t=422
ou zhou de 	歐洲的	c=1 d=1 t=257
ou zhou zi ben 	歐洲資本	c=1 d=1 t=225
pa le 	怕了	c=0 d=0.1 t=4153
pa shi 	怕是	c=1 d=1 t=2088
pai 	拍	c=1 d=1 t=5517
pai chu 	排除	c=1 d=1 t=5922
pai dao 	排到	c=0 d=0.1 t=2156
pai dao de 	排到的	c=1 d=1 t=2157
pai hao 	排好	c=1 d=1 t=4515
pai hao xu 	排好序	c=2 d=1 t=4500
pai lao 	牌佬	c=1 d=1 t=2169
pai le pai 	拍了拍	c=1 d=1 t=6628
pai sheng 	派生	c=0 d=0.1 t=1943
pai sheng biao 	派生表	c=1 d=1 t=1944
pai xu 	排序	c=17 d=2.67466 t=4541
pai xu de 	排序的	c=2 d=1 t=4513
pan 	盤	c=1 d=1 t=596
pao qi lai 	跑起來	c=1 d=1 t=4208
pei dian xiang 	配電箱	c=2 d=1.90484 t=6514
pei zhi 	配置	c=2 d=1.0002 t=5870
